lat,long,Cafetería,Calle,Descripción de Sara
,,,,
,,"Bikini Cabanyal C/ de les Drassanes, 52, Poblats Marítims, 46011  39.472500000628706  -0.32624503275492206",,
,,,,
,,Blackbird Café C/ Reina Na María 7 39.46205388527896  -0.3721753601519024,,
,,,,
,,Blackbird Café – Little Blackbird C/ Danzas 2 39.47596818836326  -0.3786984919463112,,
,,,,
,,Bluebell Coffee Roasters C/ Buenos Aires 3 39.46204714483405  -0.3758182057687584,,
,,,,
,,"Borja Specialty Coffee C/ de Vicente Beltrán Grimal, 23 39.46019470570202  -0.34920681844764045",,
,,,,
,,"Boscon Coffee C/ de Finlàndia, 16, El Pla del Real, 46010  39.47176144583108  -0.35925813090877085",,
,,,,
,,"BOTANIC Café-Té C/ de Quart, 91 39.47555447366901  -0.38642368961192786",,
,,,,
,,"Brewtalist Coffee Hub C/ de Baldoví, 2 39.46910828270907  -0.37885454543621067",,
,,,,
,,"Butter Eatery House C/ del Gravador Esteve, 33 39.46916716238398  -0.36607276159097385",,
,,,,
,,"Café ArtySana C/ de La Reina, 56 39.46688860215571  -0.3290596904572107",,
,,,,
,,"Café ArtySana C/ de Dénia, 49 39.46304538079826  -0.3763523959667145",,
,,,,
,,"Café Colomer Plaza de Fra Lluís Colomer, 7, Bajo B 39.47930330729291  -0.3525776922698268",,
,,,,
,,"Café Cros C/ dels Sants Just i Pastor, 58 39.46991198060426  -0.34904101660099296",,
,,,,
,,"Cafeinómanos C/ de l'Ambaixador Vich, 11, bajo 39.4723362201073  -0.37552528961201065",,
,,,,
,,"Cafetería Guapas Avenida de Francia, 32 39.459173191157774  -0.3478629742717489",,
,,,,
,,"Cafeto y Camellia C/ de Calixt III, 45, BJ 4 39.47064518080615  -0.3909874607769018",,
,,,,
,,Casa Capicúa C/ Jesús 14 39.468145155447  -0.3819616319417943,,
,,,,
,,Casa Fran  C/ Puerto Rico 29 39.46173734738877  -0.3759879312110125,,
,,,,
,,Casa Raíz C/ Pintor Salvador Abril 34 39.46209465157528  -0.36977830310683396,,
,,,,
,,"CATÉ Café y té C/ de Ciscar, 15 39.466566905293135  -0.36590022764506414",,
,,,,
,,"Cherry Blossom C/ de Moratín, 15 39.470910595870684  -0.37555490126019303",,
,,,,
,,"CLEM Café C/ de Conca, 40, Extramurs, 46007  39.46735685238152  -0.3860237607770259",,
,,,,
,,"Coffee & Bikes C. de la Puríssima, 1 39.47516294846508  -0.37768583194154537",,
,,,,
,,"COPPER (Specialty coffee & brunch) C/ de Borriana, 12 39.46505107307234  -0.3673215049530344",,
,,,,
,,"Cult Café C/ de l'Arquebisbe Mayoral, 7, Bajo 39.46940601112922  -0.3781609742713537",,
,,,,
,,"DOCTA Coffee Gran Via del Marqués del Túria, 34 39.46654985468693  -0.3698362742714773",,
,,,,
,,"Doux-Amer Café C/ de Just Vilar, 29 39.46734715240946  -0.33015853194182215",,
,,,,
,,East Crema Coffee C/ Sorní 19 39.47052783705455  -0.367598568447378,,
,,,,
,,East Crema Coffee C/ Roger de Lauria 39.46925165609105 -0.3746687346020912,,
,,,,
,,East Crema Coffee C/ Almirante Cadarso 39.46505312531952  -0.3674912800954963,,
,,,,
,,"El Coffi del Carmen C/ de la Creu, 4, bajo derecha 39.47875501389244  -0.37737311844698757",,
,,,,
,,"Elixir Café de Especialidad Ruzafa Mercado de Ruzafa Casetas exteriores 112-116, 46006 39.46286260736618  -0.3711075781258848",,
,,,,
,,"Elixir Café de Especialidad - Barrio del Carmen C/ dels Cavallers, 45 39.47684983760121  -0.3796047602827756",,
,,,,
,,"Elixir Café de Especialidad Arrancapins C/ de Sant Francesc de Borja, 4 39.46671267750984  -0.3844112784470769",,
,,,,
,,Fav Coffee Plaza de la Reina 39.47318547203109  -0.3686684607767994,,
,,,,
,,"Federal Café C/ de l'Ambaixador Vich, 15 39.52745076890424  -0.34591219885242547",,
,,,,
,,"Fika C/ del Duc de Calàbria, 16 39.46260014908032  -0.3663428607771949",,
,,,,
,,Fiveo Coffee C/ Dr. Serrano 1 39.46265098135682  -0.3721446742716129,,
,,,,
,,"FloRa bake & Espresso C/ del Dr. Sumsi, 8 39.46352761432591  -0.3693981724252695",,
,,,,
,,"Flying Bean Coffee C/ del Doctor Vila Barberà, 12 39.4628149837892  -0.38105533378830103",,
,,,,
,,"FOUR Specialty Coffee & Bistro C/ d'Espadà, 31 39.47174456571907  -0.3288881607768478",,
,,,,
,,"Fran Café C/ de Puerto Rico, 29, L'Eixample, 46004 39.47724174989385  -0.38302604709445354",,
,,,,
,,"Fumi Specialty Coffee C/ de Matias Perelló, 37 39.462240493804586  -0.3669820652854036",,
,,,,
,,"Gartxi Coffee Avenida del Port, 65, Bajo Izquierda, Camins al Grau, 46021  39.466714519458975  -0.3541092607770252",,
,,,,
,,"Gigi World Coffee Specialty C/ del Mestre Racional, 3, Carrer Quart, 7, 46005  39.463571782257794  -0.36364918776601896",,
,,,,
,,"Goat Coffee Store C/ de l'Abadia de Sant Martí, 4 39.47314222658894, -0.37590987611755766",,
,,,,
,,"Henko Specialty Coffee C/ Almazora, 44, Bajo Izquierda 39.48456364713898  -0.3708730408876674",,
,,,,
,,"I’N Coffee & Tea C/ del Dr. Romagosa, 5, Ciutat Vella, 46002 39.47085489600989  -0.3724026184472651",,
,,,,
,,"Ikore Kofi – Centro C/ de Pascual i Genís, 3, Bajo Izquierda 39.470622514114964  -0.37369012279079056",,
,,,,
,,Ikore Kofi – Market Plaza del Baró de Cortés 39.46253868423387  -0.3711152023456291,,
,,,,
,,"Kaffeina Brunch & Specialty C/ del Mur de Santa Anna, 4 39.47896949348826  -0.3746771775025985",,
,,,,
,,"Kaffeina Brunch & Specialty C/ de la Reina Na Germana, 9, L'Eixample, 46005  39.46482387203301  -0.36566495594453396",,
,,,,
,,Kaffetto Coffee Roasters C/ Císcar 15 39.46665525863932  -0.36583331660108437,,
,,,,
,,"Kaide Coffee C/ de la Reina, 23 39.46499318593984  -0.3293603480976449",,
,,,,
,,"Karma Café Gran Vía de Fernando el Católico, 8 39.47166259244352  -0.38403684943671573",,
,,,,
,,"Kohi Café de Especialidad C/ de la Safor, 9 39.48902915077553  -0.40058294543547474",,
,,,,
,,"Kopi Specialty Coffee Gran Via de les Germanies, 16 39.46466464293723  -0.3752599319419113",,
,,,,
,,"La Droguería | Speciality Coffee C/ de la Corretgeria, 23 39.47545936607535  -0.37654123194153105",,
,,,,
,,La Guashira Specialty Coffee C/ Flassaders 8 39.4728117730842  -0.37761530576597657,,
,,,,
,,"Let it bloom C/ de Francesc Sempere, 4, Bj Izq 01 39.46096527048491  -0.37078261844761284",,
,,,,
,,Los Picos Café Plaza Manuel Granero 20 39.45948887575634 -0.37523664543654106,,
,,,,
,,"Mayan Coffees C/ d'Hug de Montcada, 19, La Saïdia, 46010 València, Valencia 39.48242751269505  -0.37159921889529324",,
,,,,
,,Mayan Coffees C/ Murillo 54 39.47572808262683  -0.38363697197642266,,
,,,,
,,"Maybean Café C/ del Dr. Manuel Candela, 75 39.47285622723601  -0.34860338961200177",,
,,,,
,,"Mestizo C/ del Portal de Valldigna, 9 39.477571806016755  -0.3782946750832231",,
,,,,
,,"MiKENGO C. del Dr. Josep Juan Dómine, 9, bajo izquierda 39.46158595272571  -0.3321588184476017",,
,,,,
,,"Mora caffè C/ de Castellón, 2 39.46623834773836  -0.3766286615917489",,
,,,,
,,"Navel Brunch and coffee C/ de Menéndez y Pelayo, 5 39.48035216730787  -0.3633184761173056",,
,,,,
,,"Near Me Specialty Coffee Plaza del Col·legi del Patriarca, 3 39.5353076046395  -0.3655441715911951",,
,,,,
,,News & Coffee Plaza Doctor Collado 39.47464243156636  -0.3777289607767482,,
,,,,
,,"Nuwanda Coffee C/ del Doctor Sanchis Sivera, 8 39.469565552403445  -0.38546260310653835",,
,,,,
,,"Pals cafe. Specialty coffee C/ Mestre Palau, 4 39.47181065764392  -0.3843487742712954",,
,,,,
,,"Paper cup specialty coffee C/ de Ciril Amorós, 30 39.467154732064586  -0.372090734602589",,
,,,,
,,"Paramoka C/ de Sant Ignasi de Loiola, 4, Extramurs, 46008  39.474530898196925  -0.38873473009523873",,
,,,,
,,"Pure coffee C/ de la Pau, 23 39.473280380779315  -0.37188567242492915",,
,,,,
,,"Pure Coffeine Carrer d'Isabel la Catòlica, 2 39.46947669320444  -0.37117740495291196",,
,,,,
,,"Puto Café C/ Senda de l'Aire, 2 39.48503449740389, -0.37087544005911055",,
,,,,
,,"Q7th Specialty Coffee Calle Quart, 7, 46001 39.47624546417114  -0.3806132264195082",,
,,,,
,,Raíces Café Eduardo Boscá 24 39.483295676182784  -0.3548848849151658,,
,,,,
,,Retrogusto Coffeemates Mercado Central – Palcos 169-170 39.473554179671794 -0.37883651926020967,,
,,,,
,,"Riot Specialty Coffee C/ del Doctor Vicent Zaragoza, 15 39.48538516166557  -0.36295000310598513",,
,,,,
,,"Syra Coffee – Cirilo Amorós C/ de Ciril Amorós, 35, L'Eixample, 46004  39.46796832815813  -0.3718628846989651",,
,,,,
,,"Syra Coffee – Roger de Lauria C/ de Roger de Llòria, 3, Ciutat Vella, 46002  39.46985670054691  -0.37529611195918033",,
,,,,
,,"Syra Coffee – Samaniego C/ de Samaniego, 18, Ciutat Vella, 46003  39.47830405480426  -0.37632608013724483",,
,,,,
,,"Syra Coffee – Turia Gran Via del Marqués del Túria, 54, L'Eixample, 46005 39.46783580887315  -0.3678717580089736",,
,,,,
,,Tallat Specialty Coffee C/ Barraca 25 39.46491156237539  -0.32991881844749626,,
,,,,
,,"The Coffee C/ dels Drets, 3 39.4737388985909  -0.37629433460079903",,
,,,,
,,"Tinobu Healthy food & Coffee Avenida de l'Institut Obrer de València, 15 39.45601381904573  -0.3585465922759727",,
,,,,
,,"Tostarte Specialty Coffee C/ de la Vall d'Uixó, 3 39.460642888218175  -0.39532604728281673",,
,,,,
,,"UNCAFE C/ de Martín Mengod, 6, Ciutat Vella, 46001  39.47428934228104  -0.3770898031063784",,
,,,,
,,"Vuka (Coffee & Brunch) C/ dels Juristes, 12, Ciutat Vella, 46001  39.47614649383052  -0.37660293194150374",,
